workload,group,score
sdss,within,0.839680
sdss,within,0.766500
sdss,within,0.790897
sdss,within,0.795010
sdss,within,0.739348
sdss,within,0.621779
sdss,within,0.804340
sdss,within,0.667955
sdss,within,0.725913
sdss,within,0.579692
sdss,within,0.677613
sdss,within,0.577465
sdss,within,0.684337
sdss,within,0.651217
sdss,within,0.661284
sdss,within,0.844075
sdss,within,0.674799
sdss,within,0.681436
sdss,within,0.815338
sdss,within,0.918163
sdss,within,0.821391
sdss,within,0.867393
sdss,within,0.614061
sdss,within,0.825363
sdss,within,0.698579
sdss,within,0.786579
sdss,within,0.728648
sdss,within,0.683802
sdss,within,0.631825
sdss,within,0.677464
sdss,within,0.677897
sdss,within,0.654943
sdss,within,0.682601
sdss,within,0.647966
sdss,within,0.766099
sdss,within,0.782192
sdss,within,0.685098
sdss,within,0.805372
sdss,within,0.614626
sdss,within,0.786446
sdss,within,0.792935
sdss,within,0.665539
sdss,within,0.613119
sdss,within,0.684955
sdss,within,0.639005
sdss,within,0.674015
sdss,within,0.770159
sdss,within,0.791112
sdss,within,0.796592
sdss,within,0.637952
sdss,within,0.776358
sdss,within,0.719120
sdss,within,0.755781
sdss,within,0.692300
sdss,within,0.679835
sdss,within,0.596000
sdss,within,0.594942
sdss,within,0.700103
sdss,within,0.817605
sdss,within,0.782180
sdss,within,0.805111
sdss,within,0.688935
sdss,within,0.910444
sdss,within,0.893634
sdss,within,0.889530
sdss,within,0.783641
sdss,within,0.788792
sdss,within,0.788833
sdss,within,0.695204
sdss,within,0.659095
sdss,within,0.638266
sdss,within,0.629272
sdss,within,0.576468
sdss,within,0.630279
sdss,within,0.676676
sdss,within,0.848205
sdss,within,0.616175
sdss,within,0.756369
sdss,within,0.812017
sdss,within,0.691813
sdss,within,0.797121
sdss,within,0.799701
sdss,within,0.758867
sdss,within,0.781450
sdss,within,0.720441
sdss,within,0.673147
sdss,within,0.577607
sdss,within,0.634833
sdss,within,0.668293
sdss,within,0.761117
sdss,within,0.758581
sdss,within,0.872022
sdss,within,0.779218
sdss,within,0.805590
sdss,within,0.659052
sdss,within,0.667587
sdss,within,0.747907
sdss,within,0.824660
sdss,within,0.788134
sdss,within,0.830464
sdss,within,0.690506
sdss,within,0.766082
sdss,within,0.797117
sdss,within,0.646311
sdss,within,0.617584
sdss,within,0.665096
sdss,within,0.670903
sdss,within,0.891753
sdss,within,0.687409
sdss,within,0.709429
sdss,within,0.650472
sdss,within,0.659117
sdss,within,0.706488
sdss,within,0.805385
sdss,within,0.761240
sdss,within,0.676370
sdss,within,0.687457
sdss,within,0.896904
sdss,within,0.888280
sdss,within,0.739194
sdss,within,0.647305
sdss,within,0.785767
sdss,within,0.926968
sdss,within,0.923668
sdss,within,0.624498
sdss,within,0.677599
sdss,within,0.679499
sdss,within,0.703985
sdss,within,0.697309
sdss,within,0.647140
sdss,within,0.694692
sdss,within,0.689619
sdss,within,0.772721
sdss,within,0.760728
sdss,within,0.680525
sdss,within,0.720069
sdss,within,0.659372
sdss,within,0.681935
sdss,within,0.800330
sdss,within,0.720677
sdss,within,0.711050
sdss,within,0.743389
sdss,within,0.673004
sdss,within,0.702240
sdss,within,0.638413
sdss,within,0.661716
sdss,within,0.616031
sdss,within,0.617849
sdss,within,0.776085
sdss,within,0.783069
sdss,within,0.795191
sdss,within,0.670944
sdss,within,0.742388
sdss,within,0.792871
sdss,within,0.635555
sdss,within,0.815275
sdss,within,0.781980
sdss,within,0.848141
sdss,within,0.675564
sdss,within,0.802539
sdss,within,0.650903
sdss,within,0.766724
sdss,within,0.762458
sdss,within,0.723714
sdss,within,0.679566
sdss,within,0.844217
sdss,within,0.690595
sdss,within,0.765432
sdss,within,0.897374
sdss,within,0.790635
sdss,within,0.706108
sdss,within,0.653798
sdss,within,0.700160
sdss,within,0.839177
sdss,within,0.751187
sdss,within,0.691422
sdss,within,0.664970
sdss,within,0.738096
sdss,within,0.817242
sdss,within,0.747030
sdss,within,0.705337
sdss,within,0.673108
sdss,within,0.583780
sdss,within,0.659712
sdss,within,0.914270
sdss,within,0.658440
sdss,within,0.738680
sdss,within,0.677395
sdss,within,0.663002
sdss,within,0.747519
sdss,within,0.742878
sdss,within,0.766521
sdss,within,0.673278
sdss,within,0.809946
sdss,within,0.940997
sdss,within,0.721683
sdss,within,0.591861
sdss,within,0.790020
sdss,within,0.845066
sdss,within,0.789858
sdss,within,0.668961
sdss,within,0.770969
sdss,within,0.695311
sdss,within,0.891728
sdss,within,0.879025
sdss,within,0.675656
sdss,within,0.791843
sdss,within,0.715741
sdss,within,0.894025
sdss,within,0.918779
sdss,within,0.917626
sdss,within,0.619271
sdss,within,0.798084
sdss,within,0.740188
sdss,within,0.713777
sdss,within,0.673801
sdss,within,0.702681
sdss,within,0.637242
sdss,within,0.662054
sdss,within,0.884547
sdss,within,0.928336
sdss,within,0.636854
sdss,within,0.708120
sdss,within,0.743952
sdss,within,0.771280
sdss,within,0.820714
sdss,within,0.753048
sdss,within,0.617951
sdss,within,0.818125
sdss,within,0.672797
sdss,within,0.773630
sdss,within,0.754187
sdss,within,0.889610
sdss,within,0.731643
sdss,within,0.745290
sdss,within,0.917156
sdss,within,0.886866
sdss,within,0.746895
sdss,within,0.849337
sdss,within,0.829334
sdss,within,0.765009
sdss,within,0.674236
sdss,within,0.737621
sdss,within,0.795919
sdss,within,0.748479
sdss,within,0.743017
sdss,within,0.724691
sdss,within,0.728073
sdss,within,0.683444
sdss,within,0.724953
sdss,within,0.955997
sdss,within,0.822587
sdss,within,0.687311
sdss,within,0.807454
sdss,within,0.718942
sdss,within,0.626101
sdss,within,0.599590
sdss,within,0.641813
sdss,within,0.822343
sdss,within,0.609961
sdss,within,0.566840
sdss,within,0.702255
sdss,within,0.642624
sdss,within,0.790464
sdss,within,0.818956
sdss,within,0.735696
sdss,within,0.796239
sdss,within,0.590882
sdss,within,0.719571
